Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
700,220.0,0.6516594872791347,0.853665814094257,0.1545804330709549,0.1,42568.31028824886,7708.201184602833,7708.201184602833,786.0177720835181,345.25654336482665,3385.8100809886773,245.1321457890269,0.32757937733992737,0.14388850674227283,8550352.124940062,1.1447499954831102,337.59962725097904,283.59999999999997,93193.69509608159,23530.788925714554,5.0,1.7999999999999998,False
700,220.0,0.6516594872791347,0.853665814094257,0.23458043307095489,0.18,42568.31028824886,11697.425968862373,11697.425968862373,1192.8054910558012,345.25654336482665,3385.8100809886773,245.1321457890269,0.4971115080667513,0.14388850674227283,8550352.124940062,1.1447499954831102,337.59962725097904,283.59999999999997,93193.69509608159,23530.788925714554,5.0,1.7999999999999998,False
700,220.0,0.6516594872791347,0.853665814094257,0.3145804330709549,0.26,42568.31028824886,15686.650753121916,15686.650753121916,1599.5932100280847,345.25654336482665,3385.8100809886773,245.1321457890269,0.6666436387935754,0.14388850674227283,8550352.124940062,1.1447499954831102,337.59962725097904,283.59999999999997,93193.69509608159,23530.788925714554,5.0,1.7999999999999998,False
700,220.0,0.6516594872791347,0.853665814094257,0.39458043307095486,0.33999999999999997,42568.31028824886,19675.875537381457,19675.875537381457,2006.3809290003678,345.25654336482665,3385.8100809886773,245.1321457890269,0.8361757695203993,0.14388850674227283,8550352.124940062,1.1447499954831102,337.59962725097904,283.59999999999997,93193.69509608159,23530.788925714554,5.0,1.7999999999999998,False
710,190.0,0.5628613364169799,0.7889244405881131,0.1466156794142629,0.1,29313.799223244558,5447.749325810467,5447.749325810467,555.5158311768512,356.44552123581195,3495.536470827175,253.0763200774265,0.23151652258035832,0.1485520716682993,7378514.390503423,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,190.0,0.5628613364169799,0.7889244405881131,0.22661567941426286,0.18,29313.799223244558,8420.282330506554,8420.282330506554,858.6298410269108,356.44552123581195,3495.536470827175,253.0763200774265,0.3578421780656535,0.1485520716682993,7378514.390503423,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,190.0,0.5628613364169799,0.7889244405881131,0.3066156794142629,0.26,29313.799223244558,11392.815335202644,11392.815335202644,1161.7438508769708,356.44552123581195,3495.536470827175,253.0763200774265,0.4841678335509488,0.1485520716682993,7378514.390503423,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,190.0,0.5628613364169799,0.7889244405881131,0.38661567941426284,0.33999999999999997,29313.799223244558,14365.34833989873,14365.34833989873,1464.8578607270301,356.44552123581195,3495.536470827175,253.0763200774265,0.6104934890362439,0.1485520716682993,7378514.390503423,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,192.14285714285714,0.5692093966021338,0.7926838081647238,0.14706100219270757,0.1,30121.595509300667,5588.245877630691,5588.245877630691,569.8424923527087,355.62878761639547,3487.5270500783245,252.49643920764078,0.23748729530990392,0.14821169014030364,7461730.718215868,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,192.14285714285714,0.5692093966021338,0.7926838081647238,0.22706100219270756,0.18,30121.595509300667,8628.206598316056,8628.206598316056,879.8322157226021,355.62878761639547,3487.5270500783245,252.49643920764078,0.3666784700028126,0.14821169014030364,7461730.718215868,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,192.14285714285714,0.5692093966021338,0.7926838081647238,0.3070610021927076,0.26,30121.595509300667,11668.167319001423,11668.167319001423,1189.8219390924958,355.62878761639547,3487.5270500783245,252.49643920764078,0.49586964469572137,0.14821169014030364,7461730.718215868,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,192.14285714285714,0.5692093966021338,0.7926838081647238,0.38706100219270756,0.33999999999999997,30121.595509300667,14708.128039686786,14708.128039686786,1499.811662462389,355.62878761639547,3487.5270500783245,252.49643920764078,0.62506081938863,0.14821169014030364,7461730.718215868,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,194.28571428571428,0.5755574567872876,0.7965585856219898,0.1475222115428751,0.1,30947.741183123097,5731.504630040357,5731.504630040357,584.4508196010215,354.81205399697905,3479.5176293294744,251.91655833785512,0.2435754550623999,0.14787130861230796,7544947.045928313,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,194.28571428571428,0.5755574567872876,0.7965585856219898,0.22752221154287508,0.18,30947.741183123097,8839.64926539899,8839.64926539899,901.3933672965784,354.81205399697905,3479.5176293294744,251.91655833785512,0.37566428562693266,0.14787130861230796,7544947.045928313,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,194.28571428571428,0.5755574567872876,0.7965585856219898,0.30752221154287507,0.26,30947.741183123097,11947.793900757622,11947.793900757622,1218.3359149921353,354.81205399697905,3479.5176293294744,251.91655833785512,0.5077531161914655,0.14787130861230796,7544947.045928313,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,194.28571428571428,0.5755574567872876,0.7965585856219898,0.38752221154287503,0.33999999999999997,30947.741183123097,15055.938536116253,15055.938536116253,1535.278462687692,354.81205399697905,3479.5176293294744,251.91655833785512,0.6398419467559981,0.14787130861230796,7544947.045928313,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,196.42857142857142,0.5819055169724415,0.800552758535079,0.14799998635879663,0.1,31792.799496052954,5877.606243383662,5877.606243383662,599.3490379878616,353.99532037756256,3471.508208580624,251.3366774680694,0.2497844297126037,0.14753092708431226,7628163.373640757,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,196.42857142857142,0.5819055169724415,0.800552758535079,0.22799998635879662,0.18,31792.799496052954,9054.690992099555,9054.690992099555,923.3215208149119,353.99532037756256,3471.508208580624,251.3366774680694,0.3848030528127712,0.14753092708431226,7628163.373640757,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,196.42857142857142,0.5819055169724415,0.800552758535079,0.30799998635879666,0.26,31792.799496052954,12231.775740815448,12231.775740815448,1247.2940036419623,353.99532037756256,3471.508208580624,251.3366774680694,0.5198216759129387,0.14753092708431226,7628163.373640757,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,196.42857142857142,0.5819055169724415,0.800552758535079,0.3879999863587966,0.33999999999999997,31792.799496052954,15408.86048953134,15408.86048953134,1571.2664864690125,353.99532037756256,3471.508208580624,251.3366774680694,0.6548402990131063,0.14753092708431226,7628163.373640757,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,198.57142857142858,0.5882535771575955,0.8046705384421305,0.14849504857479573,0.1,32657.363304539547,6026.636391610738,6026.636391610738,614.5458838248269,353.1785867581461,3463.498787831773,250.7567965982837,0.25611786020172317,0.14719054555631655,7711379.701353202,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,198.57142857142858,0.5882535771575955,0.8046705384421305,0.22849504857479572,0.18,32657.363304539547,9273.417452367883,9273.417452367883,945.6254125892006,353.1785867581461,3463.498787831773,250.7567965982837,0.394098412501536,0.14719054555631655,7711379.701353202,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,198.57142857142858,0.5882535771575955,0.8046705384421305,0.30849504857479576,0.26,32657.363304539547,12520.19851312503,12520.19851312503,1276.7049413535744,353.1785867581461,3463.498787831773,250.7567965982837,0.5320789648013489,0.14719054555631655,7711379.701353202,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,198.57142857142858,0.5882535771575955,0.8046705384421305,0.3884950485747957,0.33999999999999997,32657.363304539547,15766.979573882174,15766.979573882174,1607.784470117948,353.1785867581461,3463.498787831773,250.7567965982837,0.6700595171011617,0.14719054555631655,7711379.701353202,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,200.71428571428572,0.5946016373427494,0.8089163783867708,0.14900816649195398,0.1,33542.057086331835,6178.6861539018355,6178.6861539018355,630.050644603594,352.36185313872954,3455.489367082922,250.17691572849796,0.2625796171805225,0.14685016402832085,7794596.029065647,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,200.71428571428572,0.5946016373427494,0.8089163783867708,0.22900816649195396,0.18,33542.057086331835,9495.919725384225,9495.919725384225,968.3143301111211,352.36185313872954,3455.489367082922,250.17691572849796,0.40355423534399126,0.14685016402832085,7794596.029065647,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,200.71428571428572,0.5946016373427494,0.8089163783867708,0.309008166491954,0.26,33542.057086331835,12813.153296866614,12813.153296866614,1306.5780156186481,352.36185313872954,3455.489367082922,250.17691572849796,0.54452885350746,0.14685016402832085,7794596.029065647,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,200.71428571428572,0.5946016373427494,0.8089163783867708,0.38900816649195397,0.33999999999999997,33542.057086331835,16130.386868349002,16130.386868349002,1644.841701126175,352.36185313872954,3455.489367082922,250.17691572849796,0.6855034716709288,0.14685016402832085,7794596.029065647,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,202.85714285714286,0.6009496975279033,0.8132949898365441,0.1495401584241906,0.1,34447.539129993376,6333.852443696991,6333.852443696991,645.8732027447693,351.5451195193131,3447.479946334072,249.5970348587123,0.2691738192420731,0.14650978250032518,7877812.356778091,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,202.85714285714286,0.6009496975279033,0.8132949898365441,0.22954015842419057,0.18,34447.539129993376,9722.294724588613,9722.294724588613,991.3981558012791,351.5451195193131,3447.479946334072,249.5970348587123,0.4131746399332084,0.14650978250032518,7877812.356778091,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,202.85714285714286,0.6009496975279033,0.8132949898365441,0.3095401584241906,0.26,34447.539129993376,13110.73700548024,13110.73700548024,1336.9231088577894,351.5451195193131,3447.479946334072,249.5970348587123,0.5571754606243439,0.14650978250032518,7877812.356778091,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,202.85714285714286,0.6009496975279033,0.8132949898365441,0.38954015842419054,0.33999999999999997,34447.539129993376,16499.179286371862,16499.179286371862,1682.4480619142992,351.5451195193131,3447.479946334072,249.5970348587123,0.7011762813154792,0.14650978250032518,7877812.356778091,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,205.0,0.6072977577130573,0.817811361120383,0.1500918966999928,0.1,35374.50391568075,6492.238479362834,6492.238479362834,662.0240835925454,350.7283858998966,3439.4705255852205,249.01715398892657,0.2759048529239853,0.14616940097232947,7961028.684490535,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,205.0,0.6072977577130573,0.817811361120383,0.23009189669999278,0.18,35374.50391568075,9952.645668347684,9952.645668347684,1014.8874150038683,350.7283858998966,3439.4705255852205,249.01715398892657,0.4229640128067978,0.14616940097232947,7961028.684490535,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,205.0,0.6072977577130573,0.817811361120383,0.3100918966999928,0.26,35374.50391568075,13413.052857332537,13413.052857332537,1367.7507464151915,350.7283858998966,3439.4705255852205,249.01715398892657,0.5700231726896103,0.14616940097232947,7961028.684490535,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,205.0,0.6072977577130573,0.817811361120383,0.3900918966999928,0.33999999999999997,35374.50391568075,16873.46004631739,16873.46004631739,1720.6140778265146,350.7283858998966,3439.4705255852205,249.01715398892657,0.7170823325724229,0.14616940097232947,7961028.684490535,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,207.14285714285714,0.6136458178982112,0.8224707775459339,0.15066431206058323,0.1,36323.68470731213,6653.954301284665,6653.954301284665,678.5145081434196,349.91165228048015,3431.4611048363704,248.4372731191409,0.2827773946836039,0.1458290194443338,8044245.012202981,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,207.14285714285714,0.6136458178982112,0.8224707775459339,0.2306643120605832,0.18,36323.68470731213,10187.082597046734,10187.082597046734,1038.7933287153855,349.91165228048015,3431.4611048363704,248.4372731191409,0.4329270304221042,0.1458290194443338,8044245.012202981,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,207.14285714285714,0.6136458178982112,0.8224707775459339,0.3106643120605832,0.26,36323.68470731213,13720.210892808806,13720.210892808806,1399.0721492873515,349.91165228048015,3431.4611048363704,248.4372731191409,0.5830766661606046,0.1458290194443338,8044245.012202981,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,207.14285714285714,0.6136458178982112,0.8224707775459339,0.39066431206058316,0.33999999999999997,36323.68470731213,17253.339188570877,17253.339188570877,1759.3509698593177,349.91165228048015,3431.4611048363704,248.4372731191409,0.733226301899105,0.1458290194443338,8044245.012202981,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,209.28571428571428,0.619993878083365,0.8272788433777029,0.15125839850076717,0.1,37295.856378744254,6819.117340811625,6819.117340811625,695.3564510624551,349.0949186610637,3423.45168408752,247.8573922493552,0.2897964350768392,0.14548863791633812,8127461.339915424,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,209.28571428571428,0.619993878083365,0.8272788433777029,0.23125839850076715,0.18,37295.856378744254,10425.722942034905,10425.722942034905,1063.1278716008937,349.0949186610637,3423.45168408752,247.8573922493552,0.4430686833350379,0.14548863791633812,8127461.339915424,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,209.28571428571428,0.619993878083365,0.8272788433777029,0.3112583985007672,0.26,37295.856378744254,14032.328543258189,14032.328543258189,1430.899292139333,349.0949186610637,3423.45168408752,247.8573922493552,0.5963409315932368,0.14548863791633812,8127461.339915424,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,209.28571428571428,0.619993878083365,0.8272788433777029,0.39125839850076716,0.33999999999999997,37295.856378744254,17638.934144481467,17638.934144481467,1798.6707126777715,349.0949186610637,3423.45168408752,247.8573922493552,0.7496131798514354,0.14548863791633812,8127461.339915424,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,211.42857142857142,0.6263419382685189,0.8322415058800482,0.15187521860499642,0.1,38291.83849942546,6987.853047220725,6987.853047220725,712.5627046158194,348.2781850416472,3415.4422633386694,247.2775113795695,0.296967305402662,0.14514825638834242,8210677.667627869,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,211.42857142857142,0.6263419382685189,0.8322415058800482,0.2318752186049964,0.18,38291.83849942546,10668.692152589208,10668.692152589208,1087.903835926561,348.2781850416472,3415.4422633386694,247.2775113795695,0.4533943028445697,0.14514825638834242,8210677.667627869,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,211.42857142857142,0.6263419382685189,0.8322415058800482,0.3118752186049964,0.26,38291.83849942546,14349.531257957691,14349.531257957691,1463.2449672373025,348.2781850416472,3415.4422633386694,247.2775113795695,0.6098213002864774,0.14514825638834242,8210677.667627869,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,211.42857142857142,0.6263419382685189,0.8322415058800482,0.39187521860499636,0.33999999999999997,38291.83849942546,18030.370363326176,18030.370363326176,1838.5860985480442,348.2781850416472,3415.4422633386694,247.2775113795695,0.7662482977283852,0.14514825638834242,8210677.667627869,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,213.57142857142856,0.6326899984536728,0.8373650816554853,0.152515909438458,0.1,39312.49870825592,7160.29557971786,7160.29557971786,730.1469492352496,347.4614514222307,3407.4328425898184,246.69763050978378,0.3042957071115177,0.1448078748603467,8293893.995340314,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,213.57142857142856,0.6326899984536728,0.8373650816554853,0.23251590943845798,0.18,39312.49870825592,10916.124387915539,10916.124387915539,1113.134902124124,347.4614514222307,3407.4328425898184,246.69763050978378,0.4639095904011451,0.1448078748603467,8293893.995340314,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,213.57142857142856,0.6326899984536728,0.8373650816554853,0.312515909438458,0.26,39312.49870825592,14671.953196113216,14671.953196113216,1496.1228550129981,347.4614514222307,3407.4328425898184,246.69763050978378,0.6235234736907724,0.1448078748603467,8293893.995340314,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,213.57142857142856,0.6326899984536728,0.8373650816554853,0.39251590943845793,0.33999999999999997,39312.49870825592,18427.782004310895,18427.782004310895,1879.1108079018722,347.4614514222307,3407.4328425898184,246.69763050978378,0.7831373569803999,0.1448078748603467,8293893.995340314,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,215.71428571428572,0.6390380586388268,0.8426562855391229,0.15318168906141727,0.1,40358.756408132525,7336.5885724815025,7336.5885724815025,748.1238315307983,346.6447178028142,3399.423421840968,246.1177496399981,0.31178774431788286,0.14446749333235104,8377110.323052759,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,215.71428571428572,0.6390380586388268,0.8426562855391229,0.23318168906141726,0.18,40358.756408132525,11168.163282192369,11168.163282192369,1138.8357168036353,346.6447178028142,3399.423421840968,246.1177496399981,0.4746206501192406,0.14446749333235104,8377110.323052759,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,215.71428571428572,0.6390380586388268,0.8426562855391229,0.31318168906141725,0.26,40358.756408132525,14999.737991903236,14999.737991903236,1529.5476020764722,346.6447178028142,3399.423421840968,246.1177496399981,0.6374535559205983,0.14446749333235104,8377110.323052759,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,215.71428571428572,0.6390380586388268,0.8426562855391229,0.3931816890614172,0.33999999999999997,40358.756408132525,18831.3127016141,18831.3127016141,1920.259487349309,346.6447178028142,3399.423421840968,246.1177496399981,0.8002864617219559,0.14446749333235104,8377110.323052759,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,217.85714285714286,0.6453861188239807,0.8481222623450194,0.1538738637448224,0.1,41431.58681796647,7516.885981901134,7516.885981901134,766.5090506851101,345.82798418339775,3391.4140010921174,245.53786877021238,0.31944995980590374,0.14412711180435533,8460326.650765205,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,217.85714285714286,0.6453861188239807,0.8481222623450194,0.23387386374482239,0.18,41431.58681796647,11424.96279180918,11424.96279180918,1165.0219791477396,345.82798418339775,3391.4140010921174,245.53786877021238,0.48553402478300234,0.14412711180435533,8460326.650765205,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,217.85714285714286,0.6453861188239807,0.8481222623450194,0.3138738637448224,0.26,41431.58681796647,15333.039601717224,15333.039601717224,1563.534907610369,345.82798418339775,3391.4140010921174,245.53786877021238,0.6516180897601009,0.14412711180435533,8460326.650765205,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,217.85714285714286,0.6453861188239807,0.8481222623450194,0.39387386374482236,0.33999999999999997,41431.58681796647,19241.116411625266,19241.116411625266,1962.047836072998,345.82798418339775,3391.4140010921174,245.53786877021238,0.8177021547371994,0.14412711180435533,8460326.650765205,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,220.0,0.6517341790091346,0.8537706218006046,0.15459383597655935,0.1,42532.02542393436,7701.353026497292,7701.353026497292,785.3194542985925,345.01125056398126,3383.404580343267,244.95798790042667,0.3272893749737859,0.14378673027635966,8543542.97847765,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,220.0,0.6517341790091346,0.8537706218006046,0.23459383597655933,0.18,42532.02542393436,11686.688135286508,11686.688135286508,1191.7105367568445,345.01125056398126,3383.404580343267,244.95798790042667,0.496656735790636,0.14378673027635966,8543542.97847765,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,220.0,0.6517341790091346,0.8537706218006046,0.3145938359765593,0.26,42532.02542393436,15672.023244075723,15672.023244075723,1598.1016192150962,345.01125056398126,3383.404580343267,244.95798790042667,0.6660240966074861,0.14378673027635966,8543542.97847765,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
710,220.0,0.6517341790091346,0.8537706218006046,0.3945938359765593,0.33999999999999997,42532.02542393436,19657.358352864936,19657.358352864936,2004.492701673348,345.01125056398126,3383.404580343267,244.95798790042667,0.8353914574243361,0.14378673027635966,8543542.97847765,1.143633812209945,337.56093678327176,283.53499999999997,93081.48820755052,23530.715065571952,5.0,1.7999999999999998,False
720,190.0,0.5629258650969199,0.7889962870170314,0.14662417027201227,0.1,29287.87735668324,5442.751489601672,5442.751489601672,555.0061937156595,356.19384795000377,3493.0683989989043,252.89763204450267,0.23130485234143983,0.1484476503828254,7372637.178596201,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,190.0,0.5629258650969199,0.7889962870170314,0.22662417027201226,0.18,29287.87735668324,8412.385475324196,8412.385475324196,857.8245859008118,356.19384795000377,3493.0683989989043,252.89763204450267,0.3575077024785384,0.1484476503828254,7372637.178596201,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,190.0,0.5629258650969199,0.7889962870170314,0.3066241702720123,0.26,29287.87735668324,11382.019461046719,11382.019461046719,1160.6429780859642,356.19384795000377,3493.0683989989043,252.89763204450267,0.48371055261563695,0.1484476503828254,7372637.178596201,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,190.0,0.5629258650969199,0.7889962870170314,0.38662417027201224,0.33999999999999997,29287.87735668324,14351.653446769242,14351.653446769242,1463.4613702711163,356.19384795000377,3493.0683989989043,252.89763204450267,0.6099134027527354,0.1484476503828254,7372637.178596201,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,192.14285714285714,0.5692746530491408,0.7927574274469963,0.14706974403416645,0.1,30095.01362245465,5583.127696971448,5583.127696971448,569.3205831727907,355.3775784169305,3485.063529382391,252.31808067602063,0.23727052944059648,0.14810746119943213,7455787.221963828,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,192.14285714285714,0.5692746530491408,0.7927574274469963,0.22706974403416647,0.18,30095.01362245465,8620.123638529301,8620.123638529301,879.007983208262,355.3775784169305,3485.063529382391,252.31808067602063,0.36633611311930336,0.14810746119943213,7455787.221963828,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,192.14285714285714,0.5692746530491408,0.7927574274469963,0.3070697440341665,0.26,30095.01362245465,11657.119580087156,11657.119580087156,1188.6953832437332,355.3775784169305,3485.063529382391,252.31808067602063,0.4954016967980103,0.14810746119943213,7455787.221963828,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,192.14285714285714,0.5692746530491408,0.7927574274469963,0.38706974403416644,0.33999999999999997,30095.01362245465,14694.115521645008,14694.115521645008,1498.3827832792042,355.3775784169305,3485.063529382391,252.31808067602063,0.6244672804767172,0.14810746119943213,7455787.221963828,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,194.28571428571428,0.5756234410013616,0.7966340491048588,0.14753121618241755,0.1,30920.48784719088,5726.264377194959,5726.264377194959,583.9164625223658,354.5613088838572,3477.058659765878,251.73852930753858,0.24335352050623596,0.14776727201603887,7538937.265331455,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,194.28571428571428,0.5756234410013616,0.7966340491048588,0.22753121618241753,0.18,30920.48784719088,8831.37773577508,8831.37773577508,900.5499060102156,354.5613088838572,3477.058659765878,251.73852930753858,0.37531394314944777,0.14776727201603887,7538937.265331455,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
720,194.28571428571428,0.5756234410013616,0.7966340491048588,0.3075312161824175,0.26,30920.48784719088,11936.491094355202,11936.491094355202,1217.1833494980654,354.5613088838572,3477.058659765878,251.73852930753858,0.5072743657926596,0.14776727201603887,7538937.265331455,1.142518461727656,337.5222418804426,283.46999999999997,92969.39073836844,23530.6412057771,5.0,1.7999999999999998,False
